Timestamp,Customer Query,Category,Chatbot Response,User Intent,Chatbot Response Options
1/25/2024 11:09,Can I book a flight for my entire family together?,Booking Assistance,,Manage booking or check flight options,Would you like to book a new flight or modify an existing reservation?
1/16/2024 12:30,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
2/4/2024 11:49,Can I book a flight for my entire family together?,Booking Assistance,,Manage booking or check flight options,Would you like to book a new flight or modify an existing reservation?
1/10/2024 0:56,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/9/2024 20:11,Why has the ticket price increased since last week?,Ticket Price,,Inquire about ticket prices,Prices vary based on availability. Do you want to check fares for a specific route?
2/1/2024 16:03,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/18/2024 21:48,How do I earn and redeem points in the loyalty program?,Loyalty Program,"Join our SkyRewards program and earn points on every flight! Redeem points for seat upgrades, extra baggage, and free flights. Sign up today at [ourairline.com/loyalty](https://ourairline.com/loyalty).",Ask about frequent flyer benefits,Our loyalty program offers rewards and discounts. Would you like to learn how to earn points?
1/19/2024 19:55,What is your refund policy for cancelled flights?,Refund Policy,,Request a refund,Refund eligibility depends on ticket type. Please enter your ticket number to check.
1/27/2024 14:12,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
1/20/2024 11:33,Which new destinations will the airline add this year?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/19/2024 5:30,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/17/2024 0:48,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/5/2024 8:54,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/4/2024 8:58,Can I change my flight date without a penalty?,Change Flight,,Reschedule or modify a flight,You can modify your flight online. Would you like to proceed with rescheduling?
1/22/2024 7:54,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
2/2/2024 11:01,How long does it take to get a refund for a ticket cancellation?,Refund Policy,,Request a refund,Refund eligibility depends on ticket type. Please enter your ticket number to check.
1/30/2024 9:24,Can I transfer my ticket to another person?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/31/2024 3:12,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
2/5/2024 0:47,How much does extra baggage cost?,Baggage Policy,Economy passengers are allowed one carry-on bag (7kg) and one checked bag (23kg). Business Class passengers can bring two checked bags (32kg each). Oversized baggage fees apply. See full details at [ourairline.com/baggage](https://ourairline.com/baggage).,Inquire about baggage allowance,Standard baggage allowance varies by ticket class. Would you like more details?
1/6/2024 19:14,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
1/29/2024 14:39,How long does it take to get a refund for a ticket cancellation?,Refund Policy,,Request a refund,Refund eligibility depends on ticket type. Please enter your ticket number to check.
1/19/2024 10:31,How do I get my boarding pass through the app?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/4/2024 3:18,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/22/2024 18:27,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/22/2024 23:21,What is the baggage weight limit for international flights?,Baggage Policy,Economy passengers are allowed one carry-on bag (7kg) and one checked bag (23kg). Business Class passengers can bring two checked bags (32kg each). Oversized baggage fees apply. See full details at [ourairline.com/baggage](https://ourairline.com/baggage).,Inquire about baggage allowance,Standard baggage allowance varies by ticket class. Would you like more details?
1/7/2024 9:13,How do I earn and redeem points in the loyalty program?,Loyalty Program,"Join our SkyRewards program and earn points on every flight! Redeem points for seat upgrades, extra baggage, and free flights. Sign up today at [ourairline.com/loyalty](https://ourairline.com/loyalty).",Ask about frequent flyer benefits,Our loyalty program offers rewards and discounts. Would you like to learn how to earn points?
1/10/2024 14:42,What is your refund policy for cancelled flights?,Refund Policy,,Request a refund,Refund eligibility depends on ticket type. Please enter your ticket number to check.
1/24/2024 23:12,Why has the ticket price increased since last week?,Ticket Price,,Inquire about ticket prices,Prices vary based on availability. Do you want to check fares for a specific route?
1/5/2024 18:40,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
